Address,City,State,Zip,Store Type
1654 GOVERNORS SQUARE BLVD,TALLAHASSEE,FL,32301,
1700 NORMAN ROAD,VALDOSTA,GA,31601,Maternity
5445 WASHINGTON PIKE,KNOXVILLE,TN,37918,
218 MORRELL RD,KNOXVILLE,TN,37919,
11028 PARKSIDE DR,KNOXVILLE,TN,37922,Maternity
125 HAMILTON CROSSING DRIVE,ALCOA,TN,37701,
1645 PARKWAY,SEVIERVILLE,TN,37862,Outlet
3 S TUNNEL ROAD,ASHEVILLE,NC,28805,
2 MCKENNA ROAD,ARDEN,NC,28704,Maternity
2780 PABLO KISEL BLVD,BROWNSVILLE,TX,78526,
2100 E. EXPRESSWAY 83,MERCEDES,TX,78570,Outlet
1815 SOUTH 10TH ST,MCALLEN,TX,78503,Maternity
7900 N. 10th Street,MCALLEN,TX,78504,Maternity
50 HOLYOKE STREET,HOLYOKE,MA,01040,Maternity
6366 A RIDGEWOOD COURT,JACKSON,MS,39211,
230 DOGWOOD BLVD,FLOWOOD,MS,39232,Maternity
1910 TAMIAMI TRL N,NAPLES,FL,34102,
4100 WEST 41ST ST.,SIOUX FALLS,SD,57106,Maternity
2825 S GLENSTONE,SPRINGFIELD,MO,65804,Maternity
300 TANGER BLVD.,BRANSON,MO,65616,Outlet
101 RANGE LINE RD,JOPLIN,MO,64801,
2203 PROMENADE BLVD.,ROGERS,AR,72758,
3810 N MALL AVENUE,FAYETTEVILLE,AR,72703,Maternity
30 Oakway Ctr,EUGENE,OR,97401,
1 CROSSGATES MALL RD,ALBANY,NY,12203,
402 BALLTOWN RD,NISKAYUNA,NY,12304,
3065 ROUTE 50,SARATOGA SPRINGS,NY,12866,
4014 E 53RD ST,DAVENPORT,IA,52807,Maternity
2000 N Neil St,CHAMPAIGN,IL,61821,
5161 HINKLEVILLE RD,PADUCAH,KY,42001,
800 N GREENRIVER RD,EVANSVILLE,IN,47715,Maternity
100 VIEWMONT MALL,SCRANTON,PA,18508,
7804 ABERCORN ST,SAVANNAH,GA,31406,Maternity
200 TANGER OUTLET BLVD,POOLER,GA,31322,Outlet
1460 FORDING ISLAND RD,BLUFFTON,SC,29910,Outlet
4840 TANGER OUTLET BLVD,NORTH CHARLESTON,SC,29418,"Maternity, Outlet"
7620 RIVERS AVE,NORTH CHARLESTON,SC,29406,
1720 TOWN CENTRE WAY,MT PLEASANT,SC,29464,
3401 ERIE BLVD EAST,DEWITT,NY,13214,
4789 COMMERCIAL DRIVE,NEW HARTFORD,NY,13413,
21847 TOWN CENTER ROAD,WATERTOWN,NY,13601,
2317 VESTAL PARKWAY EAST,VESTAL,NY,13850,
345 COLLINS RD NE,CEDAR RAPIDS,IA,52402,
1451 CORAL RIDGE AVENUE,CORALVILLE,IA,52241,Maternity
505 TANGER DRIVE,WILLIAMSBURG,IA,52361,Outlet
3111 MIDWESTERN PARKWAY,WICHITA FALLS,TX,76308,
4511 N MIDKIFF RD,MIDLAND,TX,79705,
3419 DEREK DR,LAKE CHARLES,LA,70607,Maternity
3601 CATCLAW DRIVE,ABILENE,TX,79606,
300 Lycoming Mall Circle,PENNSDALE,PA,17756,
4505 S Medford,LUFKIN,TX,75901,
207 North Stadium Boulevard,COLUMBIA,MO,65203,Maternity
3535 MISSOURI BLVD,JEFFERSON CITY,MO,65109,
6110 BROADWAY ST,QUINCY,IL,62305,
i700 TUSCOLA BLVD,TUSCOLA,IL,61953,Outlet
4440 13TH AVENUE SW,FARGO,ND,58103,
3821 32ND AVE SOUTH,GRAND FORKS,ND,58201,
9344 STATE ROAD 16,ONALASKA,WI,54650,
4800 GOLF RD,EAU CLAIRE,WI,54701,Maternity
ROUTE 16 MAIN STREET,NORTH CONWAY,NH,03860,Outlet
ONE FREEPORT VILLAGE STATION,FREEPORT,ME,04032,Outlet
2800 KING AVE W,BILLINGS,MT,59102,
210-20202 66TH AVE,LANGLEY,BC,V2Y 1P3,
5000 CANOE PASS WAY,TSAWWASSEN,BC,V4M 0B3,
10355 152TH STREET,SURREY,BC,V3R 7C1,Maternity
6551 Number 3 Road,RICHMOND,BC,V6Y 2B6,Maternity
2929 Barnet Highway,COQUITLAM,BC,V3B 5R5,Maternity
708 ROBSON ST,VANCOUVER,BC,V6E 1B5,
4135 PHOENIX AVENUE,FORT SMITH,AR,72903,
1510 FROOM WAY,SAN LUIS OBISPO,CA,93405,
888 W. SECOND ST.,CALEXICO,CA,92231,Outlet
1270 WELLINGTON RD,LONDON,ON,N6E 1M3,Maternity
1250 FANSHAWE PARK RD W,LONDON,ON,N6G 5B1,Maternity
1400 OTTAWA ST S,KITCHENER,ON,N2E 4E2,Maternity
550 King Street North,WATERLOO,ON,N2L 5W6,Maternity
